SPD tau:     0.0  storm: 91L     304.8      40.6
L       6.70     133.84      21.49   -3.72595     0.6689      1.126    
L       7.25     137.31      16.81   -2.34161      1.860      2.505    
L       8.00     137.14      12.33   -3.61828     0.7707      1.328    
PSL tau:     0.0  storm: 09W     129.8      16.0
   1    0
H       6.73     136.47      14.05    1009.01     0.1416E-01 0.1031    
SPD tau:     6.0  storm: 05E     200.9      15.8
  13   12
H       8.70     208.14      21.12    17.7058     0.2770     0.5278    
H       7.95     203.06      23.47    20.4613     0.1798      1.180    
H       7.71     203.78      22.99    20.5069     0.6991      1.321    
H       7.35     199.79      23.05    19.2716      1.109      4.232    
H       6.39     202.58      21.97    20.3051     0.6516      2.916    
H       5.62     200.48      21.38    17.6619      2.514      6.043    
H       5.59     203.86      20.61    20.5981      5.742      13.33    
H       5.19     198.68      20.52    17.1119     0.3817      1.706    
H       4.66     201.56      20.39    15.9358     0.9586      2.421    
H       4.00     204.14      18.31    26.3536      15.24      20.13    
H       3.75     197.01      15.86    17.7942     0.3096     0.6780    
H       2.36     202.87      14.36    17.2412     0.4957     0.9335    
H       2.23     201.63      17.90    23.7638      3.607      8.598    
L       3.48     204.52      15.89    12.2210      1.587      4.061    
L       3.53     197.51      17.12    16.7429     0.1724     0.8405    
L       3.75     199.98      12.14    7.75844      1.043      2.189    
L       4.12     203.35      19.17    2.33239      17.30      25.18    
L       5.00     204.27      19.61    5.68186      9.158      18.26    
L       5.32     196.88      19.47    15.4239     0.1051     0.6879    
L       5.49     203.02      20.88    14.6222      3.449      7.702    
L       5.69     201.80      21.41    12.1667      7.221      12.59    
L       5.89     206.56      13.59    13.3367     0.4339      1.408    
L       6.28     199.94      21.99    12.0376     0.8439      9.692    
L       6.75     197.13      21.50    13.6690     0.3830      1.656    
L       7.04     206.39      20.50    16.5312     0.1828      1.064    
VRT tau:     6.0  storm: 05E     200.9      15.8
  16   18
H       9.39     208.25      22.09    1.42171     0.9009      1.592    
H       8.10     197.75      23.32    4.18301      1.384      1.778    
H       7.40     207.42      11.94   0.548092     0.3140      1.203    
H       7.12     205.21      21.61    2.70804      2.862      4.787    
H       7.07     207.50      18.98    2.44480     0.1616      2.982    
H       6.99     206.42      20.40    3.65530     0.9525      2.742    
H       6.29     206.34      12.35   0.737778     0.8071      1.348    
H       5.35     202.05      21.02    6.29432     0.5534      7.128    
H       5.30     204.03      20.16    10.7544      12.77      22.59    
H       5.30     196.75      19.30   -1.66622     0.9197      1.080    
H       4.05     196.88      17.00    1.68304     0.8393      2.417    
H       3.42     200.32      12.40    1.03086     0.5151     0.8993    
H       3.25     204.00      14.50    1.32374     0.8274E-02 0.9220    
H       3.07     203.92      16.79    3.12446      5.733      7.234    
H       2.01     199.11      16.82    5.22070      2.532      4.629    
H       0.00     200.90      15.78    7.14679      2.064      3.532    
L       2.19     203.17      15.95   -1.47754     0.6126      1.797    
L       3.40     197.92      17.60   -1.51763      1.180      3.379    
L       3.73     201.97      12.19   -1.40999     0.5821      1.808    
L       3.77     196.99      15.61   -1.26863     0.7056      1.689    
L       3.83     202.32      19.36   -12.2779      5.582      9.979    
L       4.27     198.92      19.61   -4.42043      1.083      2.601    
L       4.28     203.89      18.97   -14.5002      3.678      17.78    
L       4.52     204.69      13.13   0.441170E-01 0.6731      1.025    
L       4.57     197.75      12.37   -1.35353     0.2045     0.3717    
L       4.60     205.35      17.51   -4.45178     0.5042      1.662    
L       5.66     197.45      20.38   -3.38552     0.8973      2.241    
L       5.98     207.08      15.13   -4.43666      1.015      2.783    
L       6.24     204.40      21.06   -2.27467      1.867      7.157    
L       6.31     199.94      22.02   -2.10919     0.7466      6.102    
L       7.14     201.37      22.90   -1.96506     0.4379      1.043    
L       7.68     202.76      23.26   -2.25230      2.568      2.630    
L       7.97     206.26      21.93   -1.37875      1.151      2.991    
L       8.14     204.73      23.07   -2.33417      1.090      3.720    
PSL tau:     6.0  storm: 05E     200.9      15.8
   0    0
SPD tau:     6.0  storm: 06E     239.5      25.8
  12   16
H       9.25     245.60      33.44    6.66640      1.224      3.369    
H       7.52     244.53      31.94    5.90924      1.715      10.57    
H       7.49     247.17      29.01    10.7470      3.891      7.118    
H       7.03     245.48      30.50    9.23957     0.6611      9.861    
H       6.47     246.56      24.66    10.2292     0.2804     0.7953    
H       6.00     242.98      31.01    18.8279     0.5587      7.350    
H       5.85     246.02      25.90    10.8264     0.5629      1.703    
H       5.33     243.88      29.51    17.7052      3.384      7.996    
H       5.26     238.20      30.96    12.3647     0.5426      1.171    
H       1.64     239.93      27.43    23.4097      1.375      5.084    
H       1.26     238.21      26.28    22.2848      2.943      3.486    
H       1.09     239.89      24.80    19.2019      1.783      3.198    
L       0.43     239.06      25.99    4.50936      6.400      32.83    
L       3.66     243.58      25.94   0.895917      1.989      5.903    
L       4.48     238.73      30.27    11.4275     0.8852     0.9510    
L       4.78     242.38      29.90    12.8281      1.487      3.217    
L       4.99     235.61      22.35    9.37546     0.7989      1.449    
L       6.47     245.07      30.06    3.62517      2.833      10.60    
L       6.78     246.50      28.54    2.13706      1.489      16.21    
L       6.78     245.94      29.53    1.09027      1.935      11.40    
L       6.84     244.56      31.05    2.39058      2.706      12.33    
L       7.26     247.50      27.14    1.25431      4.200      13.18    
L       7.46     244.06      32.15    1.35725      4.758      14.39    
L       7.60     239.96      33.42    5.53368     0.4870      1.707    
L       7.86     245.10      32.00    2.34547      2.197      6.816    
L       7.96     248.18      24.46    7.70001      1.454      2.479    
L       8.25     245.97      31.86    1.95633      1.422      5.030    
L      10.00     247.94      32.63    1.76845      1.315      4.796    
VRT tau:     6.0  storm: 06E     239.5      25.8
  16   16
H       8.68     246.41      32.09    3.06455      2.289      6.279    
H       7.83     239.67      33.67    6.67854      3.727      5.520    
H       7.34     244.02      32.03    3.99122      1.151      11.27    
H       7.14     246.94      28.54    3.32552      1.464      6.957    
H       6.78     246.87      24.53    1.64708     0.6811      1.694    
H       6.74     245.46      30.07    5.78494      2.255      9.041    
H       5.80     245.16      28.75    3.01179      2.929      4.119    
H       5.67     243.98      29.91    5.64168      1.911      9.618    
H       5.35     238.45      31.11    3.60049      2.143      7.429    
H       5.34     241.64      30.84    2.73603      5.447      9.388    
H       5.03     244.99      26.93    1.94496     0.5595      4.145    
H       4.02     242.41      28.93    3.60992      1.782      5.767    
H       3.38     236.53      27.91   -2.04507     0.3969      3.000    
H       3.28     241.34      23.00   0.294873E-01 0.5796     0.9708    
H       1.70     238.92      27.45    23.2488      4.814      16.32    
H       0.23     239.43      26.06    25.4947      2.880      11.45    
L       2.99     237.45      28.19   -5.16414      3.397      6.414    
L       3.03     242.48      27.30   -4.41272      2.122      2.818    
L       3.88     235.37      24.83   -5.29056      1.458      2.725    
L       3.98     235.39      27.35   -4.83335     0.9709      2.229    
L       4.02     243.96      25.53   -3.61933     0.1757      1.137    
L       4.58     244.38      24.56   -3.45751     0.5233      1.080    
L       4.68     243.91      28.41   -2.03049      1.433      3.865    
L       4.71     240.03      30.53   -15.8696     0.7108      6.874    
L       4.84     236.05      22.17   -3.05204     0.2882     0.8896    
L       5.42     242.66      30.49   -5.70760      4.459      7.060    
L       6.43     246.05      28.58   -1.23156      1.789      7.369    
L       6.51     243.94      31.06   -1.98281      2.661      11.42    
L       6.72     246.91      26.98   -3.46415      1.256      4.919    
L       8.23     245.20      32.41   -7.10065      5.372      9.276    
L       8.37     247.42      30.48   -6.92668      1.097      3.711    
L      10.28     247.66      33.30   -3.54991      2.964      3.979    
PSL tau:     6.0  storm: 06E     239.5      25.8
   3    3
H       7.66     236.17      32.92    1017.31     0.5000E-01 0.1081    
H       7.33     240.44      33.13    1017.17     0.8248E-01 0.1788    
H       4.58     242.46      22.13    1014.26     0.2238E-01 0.8070E-01
L       0.23     239.60      25.62    1010.94     0.2000     0.4534    
L       6.73     246.00      22.63    1013.40     0.2002E-01 0.5645E-01
L       8.85     246.18      32.51    1010.96     0.1903     0.3192    
SPD tau:     6.0  storm: 99E     244.9       9.2
  13    5
H       8.50     251.55      14.67    12.7024      1.480      2.418    
H       7.41     244.96      16.57    10.6297     0.1627     0.6382    
H       6.43     250.15       5.36    15.4542      1.379      2.364    
H       6.41     251.16      11.01    11.1443      1.132      1.852    
H       5.44     248.14      13.60    14.1897     0.4695      1.049    
H       5.32     241.08      12.91    12.9056     0.3103     0.8901    
H       4.80     249.72       9.97    13.8013      1.565      3.809    
H       4.35     242.73       5.40    15.9908      1.446      3.400    
H       4.29     246.78      13.05    14.0090     0.4651     0.8560    
H       3.69     248.50       8.07    15.3555     0.7052      3.058    
H       3.51     243.18      12.22    13.5829     0.7122     0.8456    
H       3.41     244.20       5.84    15.6845      1.515      2.320    
